^The Mowgli's^|^San Francisco^|173.093|^2020-12-19 20:34:00^|0.307|0.847|11.0|-4.215|1.0|0.0551|0.0215|0.0|0.0783|0.34|93.072|^audio_features^|4.0|^Waiting For The Dawn^
^Hippo Campus^|^Bambi^|194.4|^2020-12-19 20:37:00^|0.7390000000000001|0.47100000000000003|8.0|-8.456|1.0|0.0436|0.0661|9.779999999999999e-05|0.11599999999999999|0.31|90.00200000000002|^audio_features^|4.0|^Bambi^
^San Cisco^|^Too Much Time Together^|127.084|^2020-12-19 20:40:00^|0.564|0.841|2.0|-5.349|1.0|0.0521|0.268|0.00024300000000000002|0.0751|0.9540000000000001|154.803|^audio_features^|4.0|^Gracetown^
^The Neighbourhood^|^Stargazing^|217.027|^2020-12-21 22:32:00^|0.512|0.483|0.0|-7.797999999999999|1.0|0.0298|0.00304|0.0011|0.12|0.3670000000000001|160.009|^audio_features^|4.0|^Chip Chrome & The Mono-Tones (Deluxe)^
^The Neighbourhood^|^Over the Influence^|220.76|^2020-12-21 22:36:00^|0.33299999999999996|0.48700000000000004|7.0|-8.169|1.0|0.0342|0.147|0.0751|0.0801|0.155|188.908|^audio_features^|3.0|^Chip Chrome & The Mono-Tones (Deluxe)^
^The Neighbourhood^|^Here We Go Again^|257.72|^2020-12-21 22:40:00^|0.51|0.527|8.0|-9.148|1.0|0.0292|0.6|0.317|0.545|0.418|143.91299999999995|^audio_features^|4.0|^Chip Chrome & The Mono-Tones (Deluxe)^
^The Neighbourhood^|^The Shining^|214.693|^2020-12-21 22:44:00^|0.627|0.685|10.0|-6.871|1.0|0.0272|0.0534|0.7559999999999999|0.096|0.552|96.989|^audio_features^|4.0|^Chip Chrome & The Mono-Tones (Deluxe)^
^The Neighbourhood^|^Pretty Boy^|234.093|^2020-12-21 22:48:00^|0.578|0.386|6.0|-11.464|1.0|0.0278|0.20800000000000002|0.0453|0.307|0.569|154.90200000000004|^audio_features^|4.0|^Chip Chrome & The Mono-Tones^
^The Neighbourhood^|^Lost in Translation^|190.227|^2020-12-21 22:52:00^|0.568|0.8909999999999999|0.0|-5.7860000000000005|1.0|0.0376|0.0008960000000000002|0.00013700000000000002|0.35700000000000004|0.522|104.954|^audio_features^|4.0|^Chip Chrome & The Mono-Tones^
^The Neighbourhood^|^Devil's Advocate^|186.307|^2020-12-21 22:55:00^|0.662|0.6809999999999999|11.0|-8.152000000000001|0.0|0.0315|0.0321|0.139|0.508|0.8640000000000001|98.004|^audio_features^|4.0|^Chip Chrome & The Mono-Tones^
^The Neighbourhood^|^Hell or High Water^|123.0|^2020-12-21 22:57:00^|0.5720000000000001|0.32|9.0|-11.841|1.0|0.0299|0.9620000000000001|0.00598|0.165|0.627|120.875|^audio_features^|4.0|^Chip Chrome & The Mono-Tones (Deluxe)^
^The Neighbourhood^|^Cherry Flavoured^|171.239|^2020-12-21 23:00:00^|0.617|0.574|6.0|-9.767999999999999|1.0|0.0276|0.23|0.0105|0.0983|0.396|91.76899999999999|^audio_features^|4.0|^Chip Chrome & The Mono-Tones^
